model,layers,use
cvcl,vision_encoder.model.layer3.4.bn3,
cvcl,vision_encoder.model.layer3.4.relu,
cvcl,vision_encoder.model.layer3.5,
cvcl,vision_encoder.model.layer3.5.conv1,
cvcl,vision_encoder.model.layer3.5.bn1,
cvcl,vision_encoder.model.layer3.5.conv2,
cvcl,vision_encoder.model.layer3.5.bn2,
cvcl,vision_encoder.model.layer3.5.conv3,
cvcl,vision_encoder.model.layer3.5.bn3,
cvcl,vision_encoder.model.layer3.5.relu,1
cvcl,vision_encoder.model.layer4,
cvcl,vision_encoder.model.layer4.0,
cvcl,vision_encoder.model.layer4.0.conv1,
cvcl,vision_encoder.model.layer4.0.bn1,
cvcl,vision_encoder.model.layer4.0.conv2,
cvcl,vision_encoder.model.layer4.0.bn2,
cvcl,vision_encoder.model.layer4.0.conv3,
cvcl,vision_encoder.model.layer4.0.bn3,
cvcl,vision_encoder.model.layer4.0.relu,
cvcl,vision_encoder.model.layer4.0.downsample,
cvcl,vision_encoder.model.layer4.0.downsample.0,
cvcl,vision_encoder.model.layer4.0.downsample.1,
cvcl,vision_encoder.model.layer4.1,
cvcl,vision_encoder.model.layer4.1.conv1,
cvcl,vision_encoder.model.layer4.1.bn1,
cvcl,vision_encoder.model.layer4.1.conv2,
cvcl,vision_encoder.model.layer4.1.bn2,
cvcl,vision_encoder.model.layer4.1.conv3,
cvcl,vision_encoder.model.layer4.1.bn3,
cvcl,vision_encoder.model.layer4.1.relu,
cvcl,vision_encoder.model.layer4.2,
cvcl,vision_encoder.model.layer4.2.conv1,
cvcl,vision_encoder.model.layer4.2.bn1,
cvcl,vision_encoder.model.layer4.2.conv2,
cvcl,vision_encoder.model.layer4.2.bn2,
cvcl,vision_encoder.model.layer4.2.conv3,
cvcl,vision_encoder.model.layer4.2.bn3,
cvcl,vision_encoder.model.layer4.2.relu,1
cvcl,vision_encoder.model.avgpool,1
cvcl,vision_encoder.model.fc,
cvcl,text_encoder,
cvcl,text_encoder.embedding,
cvcl,text_encoder.lockdrop,
cvcl,text_encoder.output_dropout,
cvcl,model,
cvcl,language_model,
cvcl,language_model.output_layer,
convnext,,
convnext,features,
convnext,features.0,
convnext,features.0.0,
convnext,features.0.1,
convnext,features.1,
convnext,features.1.0,
convnext,features.1.0.block,
convnext,features.1.0.block.0,
