model,layer,classifier,train_ims,condition,animacy,obj1,obj2,acc
vit,blocks.0.ls1,KNN,150,Pert,anim,elephant,frog,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,elephant,hand,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,elephant,rabbit,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,elephant,squirrel,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,elephant,turtle,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,fish,foot,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,fish,frog,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,fish,hand,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,fish,rabbit,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,fish,squirrel,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,fish,turtle,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,foot,frog,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,foot,hand,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,foot,rabbit,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,foot,squirrel,0.575
vit,blocks.0.ls1,KNN,150,Pert,anim,foot,turtle,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,frog,hand,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,frog,rabbit,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,frog,squirrel,0.6
vit,blocks.0.ls1,KNN,150,Pert,anim,frog,turtle,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,hand,rabbit,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,hand,squirrel,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,hand,turtle,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,rabbit,squirrel,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,rabbit,turtle,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,squirrel,turtle,0.55
