sub,age,age_group,cond,fast_high_curv,fast_low_curv,intro_high_curv,intro_low_curv,slow_high_curv,slow_low_curv,high_curv,low_curv,fast_high_conv_hull,fast_low_conv_hull,intro_high_conv_hull,intro_low_conv_hull,slow_high_conv_hull,slow_low_conv_hull,high_conv_hull,low_conv_hull,fast_high_axis_ratio,fast_low_axis_ratio,intro_high_axis_ratio,intro_low_axis_ratio,slow_high_axis_ratio,slow_low_axis_ratio,high_axis_ratio,low_axis_ratio
6129,3.87,3yrold,complete,1.0,0.6,1.0,,1.0,0.5,1.0,0.5714285714285714,0.5,1.0,1.0,,0.6666666666666666,1.0,0.625,1.0,0.6,1.0,1.0,,0.6666666666666666,1.0,0.6666666666666666,1.0
6130,3.35,3yrold,perturbed,,,,0.0,1.0,1.0,1.0,0.5,,,,0.0,1.0,,1.0,0.0,,,,0.0,,1.0,,0.75
6131,3.64,3yrold,deleted,,,0.16666666666666666,0.5,0.0,0.0,0.125,0.4,,,0.2857142857142857,0.3333333333333333,0.0,0.0,0.2222222222222222,0.25,,,0.5,0.0,0.0,0.0,0.375,0.0
6132,3.9,3yrold,complete,1.0,0.5,,1.0,1.0,1.0,1.0,0.6666666666666666,0.6,1.0,1.0,,,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,,1.0,,1.0,0.3333333333333333,1.0
6133,3.37,3yrold,perturbed,0.6666666666666666,0.0,,,1.0,1.0,0.8,0.5,1.0,0.25,,,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,,,1.0,1.0,0.6,0.75
6135,3.2,3yrold,deleted,0.5,,1.0,0.5,1.0,0.6666666666666666,0.7142857142857143,0.6,0.0,0.6666666666666666,,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,0.6666666666666666,0.5,0.8333333333333334
6136,4.77,4yrold,deleted,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0
6137,3.99,3yrold,perturbed,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0
6138,4.52,4yrold,perturbed,1.0,1.0,,1.0,1.0,0.5,1.0,0.8,,1.0,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
60682,4.3,4yrold,deleted,0.0,1.0,,,,,0.0,1.0,0.25,1.0,,,,,0.25,1.0,0.3333333333333333,0.5,,,,,0.3333333333333333,0.5
60972,5.13,5yrold,complete,1.0,0.8,,,1.0,,1.0,0.8,0.8333333333333334,1.0,,,1.0,1.0,0.8571428571428571,1.0,0.8333333333333334,1.0,,,1.0,1.0,0.8571428571428571,1.0
