sub,age,age_group,cond,curv_100.0_high,curv_100.0_low,curv_150.0_high,curv_150.0_low,curv_200.0_high,curv_200.0_low,curv_250.0_high,curv_250.0_low,curv_300.0_high,curv_300.0_low,axis_100.0_high,axis_100.0_low,axis_150.0_high,axis_150.0_low,axis_200.0_high,axis_200.0_low,axis_250.0_high,axis_250.0_low,axis_300.0_high,axis_300.0_low
6075,3.64,3yrold,complete,0.75,1.0,0.5,,,0.6666666666666666,,1.0,1.0,,0.8,1.0,1.0,0.0,1.0,0.0,,1.0,,1.0
6078,3.85,3yrold,complete,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,
6079,3.85,3yrold,perturbed,,,,,,1.0,0.5,1.0,1.0,0.5,,,,,,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0
6080,3.88,3yrold,deleted,,,,,,1.0,0.75,0.3333333333333333,,1.0,,,,,1.0,1.0,0.6666666666666666,0.5,,1.0
6081,3.46,3yrold,complete,,0.0,1.0,1.0,1.0,,,,,1.0,0.0,0.0,1.0,1.0,,1.0,,,,1.0
6082,3.72,3yrold,perturbed,1.0,1.0,1.0,,,,,0.0,,1.0,1.0,1.0,1.0,1.0,,,0.0,,,1.0
6083,3.99,3yrold,deleted,,,,,,,0.5,0.75,1.0,1.0,,,,,,,0.6,0.6,1.0,1.0
6084,3.37,3yrold,complete,,,,,0.5,0.0,1.0,0.25,0.0,0.0,,,,,0.25,1.0,0.5,0.3333333333333333,0.0,0.0
6085,3.99,3yrold,perturbed,1.0,0.3333333333333333,0.0,1.0,1.0,,,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,,,1.0,,1.0
6086,3.77,3yrold,deleted,,,,,,,0.0,1.0,0.75,0.0,,,,,,,,0.5,0.4,0.25
6088,3.28,3yrold,perturbed,1.0,1.0,1.0,,0.5,0.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.5,1.0,,0.0,
6089,3.06,3yrold,deleted,,,,,0.3333333333333333,0.6666666666666666,0.0,1.0,,,,,,,0.3333333333333333,0.6666666666666666,,0.5,,
6090,5.91,5yrold,deleted,,,,,1.0,1.0,0.6666666666666666,0.0,,1.0,,,,,1.0,1.0,0.5,0.3333333333333333,,1.0
6091,5.54,5yrold,complete,0.75,1.0,1.0,,,1.0,,,1.0,,0.75,1.0,1.0,1.0,1.0,,,,1.0,
6092,5.54,5yrold,perturbed,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,
6093,5.56,5yrold,deleted,0.3333333333333333,0.5,,1.0,0.5,,0.0,1.0,,,0.3333333333333333,0.5,1.0,,1.0,0.0,0.0,1.0,,
6094,5.15,5yrold,complete,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,
6095,5.15,5yrold,perturbed,0.3333333333333333,1.0,,1.0,1.0,,1.0,1.0,1.0,,0.6666666666666666,0.5,1.0,,1.0,,,1.0,1.0,
6097,5.63,5yrold,complete,0.6666666666666666,1.0,,1.0,,1.0,,1.0,1.0,,0.75,1.0,1.0,,1.0,,1.0,,,1.0
6098,5.52,5yrold,perturbed,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,
6099,5.38,5yrold,deleted,0.6666666666666666,1.0,0.0,,1.0,1.0,1.0,,,1.0,0.6666666666666666,1.0,,0.0,,1.0,1.0,,1.0,
6100,5.54,5yrold,complete,0.6666666666666666,1.0,,,1.0,1.0,1.0,,,,0.8,1.0,,,1.0,1.0,1.0,,,
6101,5.05,5yrold,perturbed,0.0,1.0,,1.0,,1.0,1.0,0.0,,,0.0,0.6666666666666666,,1.0,,1.0,,0.5,,
