model,obj1,obj2,condition,train_acc,acc
vit,frog,squirrel,Pert,1.0,0.5
vit,frog,turtle,Pert,1.0,0.6
vit,hand,bear,Pert,1.0,0.95
vit,hand,bird,Pert,1.0,0.5
vit,hand,butterfly,Pert,1.0,0.85
vit,hand,cat,Pert,1.0,0.95
vit,hand,cow,Pert,1.0,1.0
vit,hand,dog,Pert,1.0,0.8
vit,hand,duck,Pert,1.0,0.85
vit,hand,elephant,Pert,1.0,0.75
vit,hand,fish,Pert,1.0,0.5
vit,hand,foot,Pert,1.0,0.5
vit,hand,frog,Pert,1.0,0.5
vit,hand,rabbit,Pert,1.0,0.8
vit,hand,squirrel,Pert,1.0,0.85
vit,hand,turtle,Pert,1.0,0.75
vit,rabbit,bear,Pert,1.0,0.95
vit,rabbit,bird,Pert,1.0,0.5
vit,rabbit,butterfly,Pert,1.0,0.75
vit,rabbit,cat,Pert,1.0,0.5
vit,rabbit,cow,Pert,1.0,0.95
vit,rabbit,dog,Pert,1.0,0.85
vit,rabbit,duck,Pert,1.0,0.6
vit,rabbit,elephant,Pert,1.0,0.85
vit,rabbit,fish,Pert,1.0,0.5
vit,rabbit,foot,Pert,1.0,0.65
vit,rabbit,frog,Pert,1.0,0.5
vit,rabbit,hand,Pert,1.0,0.85
vit,rabbit,squirrel,Pert,1.0,0.7
vit,rabbit,turtle,Pert,1.0,0.65
vit,squirrel,bear,Pert,1.0,0.9
vit,squirrel,bird,Pert,1.0,0.5
vit,squirrel,butterfly,Pert,1.0,0.55
vit,squirrel,cat,Pert,1.0,0.35
vit,squirrel,cow,Pert,1.0,0.75
vit,squirrel,dog,Pert,1.0,0.65
vit,squirrel,duck,Pert,1.0,0.65
vit,squirrel,elephant,Pert,1.0,0.55
vit,squirrel,fish,Pert,1.0,0.5
vit,squirrel,foot,Pert,1.0,0.5
vit,squirrel,frog,Pert,1.0,0.5
vit,squirrel,hand,Pert,1.0,0.7
vit,squirrel,rabbit,Pert,1.0,0.6
vit,squirrel,turtle,Pert,1.0,0.7
vit,turtle,bear,Pert,1.0,0.5
vit,turtle,bird,Pert,1.0,0.55
vit,turtle,butterfly,Pert,1.0,0.65
vit,turtle,cat,Pert,1.0,0.55
vit,turtle,cow,Pert,1.0,0.5
vit,turtle,dog,Pert,1.0,0.5
vit,turtle,duck,Pert,1.0,0.65
vit,turtle,elephant,Pert,1.0,0.5
vit,turtle,fish,Pert,1.0,0.55
vit,turtle,foot,Pert,1.0,0.55
vit,turtle,frog,Pert,1.0,0.55
vit,turtle,hand,Pert,1.0,0.7
vit,turtle,rabbit,Pert,1.0,0.6
vit,turtle,squirrel,Pert,1.0,0.7
