,obj1,obj2,correlation,zscore,obj1_name,obj2_name
176,OBJ (20).png,OBJ (21).png,0.9987136194178444,0.39124589661540926,flower,foot
177,OBJ (17).png,OBJ (21).png,0.9989775945367357,0.5729758581233199,duck,foot
178,OBJ (30).png,OBJ (21).png,0.998415681087872,0.18613443965304002,kite,foot
179,OBJ (10).png,OBJ (21).png,0.9982263203931742,0.055771730079922845,butterfly,foot
180,OBJ (6).png,OBJ (19).png,0.9994918744301687,0.9270246246525323,bear,fish
181,OBJ (25).png,OBJ (19).png,0.9993559484414062,0.8334482875739079,hand,fish
182,OBJ (1).png,OBJ (19).png,0.998898131745817,0.5182708162404854,airplane,fish
183,OBJ (38).png,OBJ (19).png,0.9992945547848887,0.7911826873817026,rabbit,fish
184,OBJ (12).png,OBJ (19).png,0.9995152100045837,0.9430896729722341,chair,fish
185,OBJ (21).png,OBJ (19).png,0.9991668117549201,0.7032397933066543,foot,fish
187,OBJ (18).png,OBJ (19).png,0.9988794425552204,0.5054045055745764,elephant,fish
188,OBJ (4).png,OBJ (19).png,0.9974503336574649,-0.47844543479290963,apple,fish
189,OBJ (41).png,OBJ (19).png,0.9987437732344775,0.41200486798763525,spoon,fish
190,OBJ (47).png,OBJ (19).png,0.9972925368664869,-0.5870784183519381,umbrella,fish
191,OBJ (46).png,OBJ (19).png,0.9991290805168426,0.6772642526107495,turtle,fish
192,OBJ (11).png,OBJ (19).png,0.9991171762614314,0.6690689352386289,cat,fish
193,OBJ (16).png,OBJ (19).png,0.9997000853073736,1.070364477510237,dog,fish
194,OBJ (44).png,OBJ (19).png,0.9976429540403434,-0.3458386386934696,tree,fish
195,OBJ (27).png,OBJ (19).png,0.9992362147502764,0.751019310283881,guitar,fish
196,OBJ (14).png,OBJ (19).png,0.9992270570338279,0.7447148090692407,cow,fish
197,OBJ (32).png,OBJ (19).png,0.9995939408362591,0.9972908077986994,leaf,fish
198,OBJ (23).png,OBJ (19).png,0.9984693482090569,0.22308081516039685,frog,fish
199,OBJ (29).png,OBJ (19).png,0.9993925389945326,0.8586385397429327,key,fish
200,OBJ (7).png,OBJ (19).png,0.9949366627162011,-2.208946874921133,bicycle,fish
201,OBJ (8).png,OBJ (19).png,0.9995551344729193,0.9705751122224874,bird,fish
202,OBJ (22).png,OBJ (19).png,0.9984083258840916,0.18107085295773614,fork,fish
203,OBJ (42).png,OBJ (19).png,0.9988733987381875,0.5012437246594194,squirrel,fish
204,OBJ (31).png,OBJ (19).png,0.9986119972909073,0.32128557120976325,lamp,fish
205,OBJ (45).png,OBJ (19).png,0.9985296168406789,0.2645719077709519,truck,fish
206,OBJ (20).png,OBJ (19).png,0.9994693551504664,0.9115215429580312,flower,fish
207,OBJ (17).png,OBJ (19).png,0.9996371594715608,1.0270440700106898,duck,fish
208,OBJ (30).png,OBJ (19).png,0.9981449424664459,-0.0002517601415409673,kite,fish
209,OBJ (10).png,OBJ (19).png,0.999079857374076,0.6433772716034636,butterfly,fish
210,OBJ (6).png,OBJ (18).png,0.9995893986620382,0.9941638117780695,bear,elephant
211,OBJ (25).png,OBJ (18).png,0.9986789771696691,0.36739692761452963,hand,elephant
212,OBJ (1).png,OBJ (18).png,0.9989368471023142,0.5449238594347035,airplane,elephant
213,OBJ (38).png,OBJ (18).png,0.9991647074854189,0.7017911385354706,rabbit,elephant
214,OBJ (12).png,OBJ (18).png,0.9986675976616752,0.3595628652286637,chair,elephant
215,OBJ (21).png,OBJ (18).png,0.9981138528105141,-0.02165499692957016,foot,elephant
216,OBJ (19).png,OBJ (18).png,0.9988794425552205,0.5054045055746528,fish,elephant
218,OBJ (4).png,OBJ (18).png,0.9982058571704588,0.041684111928632396,apple,elephant
219,OBJ (41).png,OBJ (18).png,0.9973487555486631,-0.5483754565318394,spoon,elephant
220,OBJ (47).png,OBJ (18).png,0.9986910517125387,0.3757094769946605,umbrella,elephant
221,OBJ (46).png,OBJ (18).png,0.9990403583382839,0.6161847154100837,turtle,elephant
222,OBJ (11).png,OBJ (18).png,0.998962658005626,0.5626930131528018,cat,elephant
223,OBJ (16).png,OBJ (18).png,0.9989100745593834,0.5264926784327926,dog,elephant
224,OBJ (44).png,OBJ (18).png,0.9987811231811637,0.43771791398273624,tree,elephant
225,OBJ (27).png,OBJ (18).png,0.9984348468995049,0.19932887337442998,guitar,elephant
226,OBJ (14).png,OBJ (18).png,0.9985255151100179,0.26174812893046157,cow,elephant
227,OBJ (32).png,OBJ (18).png,0.9992963891131312,0.7924455048862711,leaf,elephant
228,OBJ (23).png,OBJ (18).png,0.9986766930602246,0.3658244645612411,frog,elephant
229,OBJ (29).png,OBJ (18).png,0.9984411191705245,0.20364693022668529,key,elephant
230,OBJ (7).png,OBJ (18).png,0.9966947272049725,-0.9986320800468119,bicycle,elephant
231,OBJ (8).png,OBJ (18).png,0.9985534774112416,0.280998382311913,bird,elephant
232,OBJ (22).png,OBJ (18).png,0.9967874925650416,-0.9347690713457437,fork,elephant
233,OBJ (42).png,OBJ (18).png,0.9989583871788845,0.5597528224916664,squirrel,elephant
