label,number,class_label1,class_label2,class_label3,class_label4,class_label5,class_label6,class_label7,class_label8
n03347037,919, fire screen, fireguard,,,,,,
n03355925,995, flagpole, flagstaff,,,,,,
n03372029,356, flute, transverse flute,,,,,,
n03376595,309, folding chair,,,,,,,
n03379051,784, football helmet,,,,,,,
n03384352,261, forklift,,,,,,,
n03388043,712, fountain,,,,,,,
n03388183,934, fountain pen,,,,,,,
n03388549,299, four-poster,,,,,,,
n03393912,256, freight car,,,,,,,
n03394916,348, French horn, horn,,,,,,
n03400231,671, frying pan, frypan, skillet,,,,,
n03404251,757, fur coat,,,,,,,
n03417042,280, garbage truck, dustcart,,,,,,
n03424325,971, gasmask, respirator, gas helmet,,,,,
n03425413,567, gas pump, gasoline pump, petrol pump, island dispenser,,,,
n03443371,955, goblet,,,,,,,
n03444034,275, go-kart,,,,,,,
n03445777,792, golf ball,,,,,,,
n03445924,276, golfcart, golf cart,,,,,,
n03447447,236, gondola,,,,,,,
n03447721,337, gong, tam-tam,,,,,,
n03450230,911, gown,,,,,,,
n03452741,227, grand piano, grand,,,,,,
n03457902,684, greenhouse, nursery, glasshouse,,,,,
n03459775,725, grille, radiator grille,,,,,,
n03461385,703, grocery store, grocery, food market, market,,,,
n03467068,517, guillotine,,,,,,,
n03476684,581, hair slide,,,,,,,
n03476991,895, hair spray,,,,,,,
n03478589,249, half track,,,,,,,
n03481172,375, hammer,,,,,,,
n03482405,840, hamper,,,,,,,
n03483316,505, hand blower, blow dryer, blow drier, hair dryer, hair drier,,,
n03485407,551, hand-held computer, hand-held microcomputer,,,,,,
n03485794,750, handkerchief, hankie, hanky, hankey,,,,
n03492542,573, hard disc, hard disk, fixed disk,,,,,
n03494278,350, harmonica, mouth organ, harp, mouth harp,,,,
n03495258,344, harp,,,,,,,
n03496892,554, harvester, reaper,,,,,,
n03498962,369, hatchet,,,,,,,
n03527444,787, holster,,,,,,,
n03529860,696, home theater, home theatre,,,,,,
n03530642,730, honeycomb,,,,,,,
n03532672,562, hook, claw,,,,,,
n03534580,802, hoopskirt, crinoline,,,,,,
n03535780,924, horizontal bar, high bar,,,,,,
n03538406,293, horse cart, horse-cart,,,,,,
n03544143,525, hourglass,,,,,,,
n03584254,980, iPod,,,,,,,
n03584829,659, iron, smoothing iron,,,,,,
n03590841,592, jack-o-lantern,,,,,,,
n03594734,748, jean, blue jean, denim,,,,,
n03594945,269, jeep, landrover,,,,,,
n03595614,961, jersey, T-shirt, tee shirt,,,,,
n03598930,963, jigsaw puzzle,,,,,,,
n03599486,294, jinrikisha, ricksha, rickshaw,,,,,
n03602883,560, joystick,,,,,,,
n03617480,770, kimono,,,,,,,
n03623198,773, knee pad,,,,,,,
n03627232,582, knot,,,,,,,
n03630383,918, lab coat, laboratory coat,,,,,,
n03633091,892, ladle,,,,,,,
n03637318,814, lampshade, lamp shade,,,,,,
n03642806,228, laptop, laptop computer,,,,,,
n03649909,374, lawn mower, mower,,,,,,
n03657121,988, lens cap, lens cover,,,,,,
n03658185,371, letter opener, paper knife, paperknife,,,,,
n03661043,687, library,,,,,,,
n03662601,238, lifeboat,,,,,,,
n03666591,546, lighter, light, igniter, ignitor,,,,
n03670208,270, limousine, limo,,,,,,
n03673027,244, liner, ocean liner,,,,,,
n03676483,867, lipstick, lip rouge,,,,,,
n03680355,973, Loafer,,,,,,,
n03690938,894, lotion,,,,,,,
n03691459,508, loudspeaker, speaker, speaker unit, loudspeaker system, speaker system,,,
n03692522,536, loupe, jewelers loupe,,,,,,
n03697007,697, lumbermill, sawmill,,,,,,
n03706229,532, magnetic compass,,,,,,,
n03709823,818, mailbag, postbag,,,,,,
n03710193,917, mailbox, letter box,,,,,,
n03710637,782, maillot,,,,,,,
n03710721,977, maillot, tank suit,,,,,,
n03717622,763, manhole cover,,,,,,,
n03720891,338, maraca,,,,,,,
n03721384,339, marimba, xylophone,,,,,,
n03724870,781, mask,,,,,,,
n03729826,984, matchstick,,,,,,,
n03733131,598, maypole,,,,,,,
n03733281,922, maze, labyrinth,,,,,,
n03733805,946, measuring cup,,,,,,,
n03742115,302, medicine chest, medicine cabinet,,,,,,
n03743016,717, megalith, megalithic structure,,,,,,
n03759954,509, microphone, mike,,,,,,
n03761084,661, microwave, microwave oven,,,,,,
n03763968,866, military uniform,,,,,,,
n03764736,875, milk can,,,,,,,
n03769881,920, minibus,,,,,,,
n03770439,880, miniskirt, mini,,,,,,
n03770679,271, minivan,,,,,,,
n03773504,251, missile,,,,,,,
n03775071,871, mitten,,,,,,,
n03775546,829, mixing bowl,,,,,,,
n03776460,290, mobile home, manufactured home,,,,,,
n03777568,272, Model T,,,,,,,
n03777754,764, modem,,,,,,,
n03781244,686, monastery,,,,,,,
n03782006,869, monitor,,,,,,,
n03785016,277, moped,,,,,,,
n03786901,824, mortar,,,,,,,
n03787032,854, mortarboard,,,,,,,
n03788195,691, mosque,,,,,,,
n03788365,852, mosquito net,,,,,,,
n03791053,260, motor scooter, scooter,,,,,,
n03792782,255, mountain bike, all-terrain bike, off-roader,,,,,
n03792972,728, mountain tent,,,,,,,
n03793489,511, mouse, computer mouse,,,,,,
n03794056,599, mousetrap,,,,,,,
n03796401,284, moving van,,,,,,,
n03803284,588, muzzle,,,,,,,
n03804744,585, nail,,,,,,,
n03814639,595, neck brace,,,,,,,
n03814906,755, necklace,,,,,,,
n03825788,915, nipple,,,,,,,
n03832673,552, notebook, notebook computer,,,,,,
n03837869,699, obelisk,,,,,,,
n03838899,354, oboe, hautboy, hautbois,,,,,
n03840681,351, ocarina, sweet potato,,,,,,
n03841143,520, odometer, hodometer, mileometer, milometer,,,,
n03843555,513, oil filter,,,,,,,
n03854065,333, organ, pipe organ,,,,,,
n03857828,870, oscilloscope, scope, cathode-ray oscilloscope, CRO,,,,
n03866082,937, overskirt,,,,,,,
n03868242,295, oxcart,,,,,,,
n03868863,506, oxygen mask,,,,,,,
n03871628,921, packet,,,,,,,
n03873416,826, paddle, boat paddle,,,,,,
n03874293,564, paddlewheel, paddle wheel,,,,,,
n03874599,584, padlock,,,,,,,
n03876231,504, paintbrush,,,,,,,
n03877472,759, pajama, pyjama, pjs, jammies,,,,
n03877845,685, palace,,,,,,,
n03884397,352, panpipe, pandean pipe, syrinx,,,,,
n03887697,877, paper towel,,,,,,,
n03888257,942, parachute, chute,,,,,,
n03888605,994, parallel bars, bars,,,,,,
n03891251,306, park bench,,,,,,,
n03891332,527, parking meter,,,,,,,
n03895866,257, passenger car, coach, carriage,,,,,
n03899768,679, patio, terrace,,,,,,
n03902125,843, pay-phone, pay-station,,,,,,
n03903868,732, pedestal, plinth, footstall,,,,,
n03908618,842, pencil box, pencil case,,,,,,
n03908714,850, pencil sharpener,,,,,,,
n03916031,883, perfume, essence,,,,,,
n03920288,783, Petri dish,,,,,,,
n03924679,789, photocopier,,,,,,,
n03929660,575, pick, plectrum, plectron,,,,,
n03929855,926, pickelhaube,,,,,,,
n03930313,722, picket fence, paling,,,,,,
n03930630,281, pickup, pickup truck,,,,,,
n03933933,596, pier,,,,,,,
n03935335,931, piggy bank, penny bank,,,,,,
n03937543,901, pill bottle,,,,,,,
n03938244,888, pillow,,,,,,,
n03942813,841, ping-pong ball,,,,,,,
n03944341,565, pinwheel,,,,,,,
n03947888,245, pirate, pirate ship,,,,,,
n03950228,983, pitcher, ewer,,,,,,
n03954731,372, plane, carpenters plane, woodworking plane,,,,,
n03956157,693, planetarium,,,,,,,
n03958227,964, plastic bag,,,,,,,
n03961711,731, plate rack,,,,,,,
n03967562,381, plow, plough,,,,,,
n03970156,378, plunger, plumbers helper,,,,,,
n03976467,857, Polaroid camera, Polaroid Land camera,,,,,,
n03976657,923, pole,,,,,,,
n03977966,285, police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria,,
n03980874,855, poncho,,,,,,,
n03982430,314, pool table, billiard table, snooker table,,,,,
n03983396,788, pop bottle, soda bottle,,,,,,
n03991062,838, pot, flowerpot,,,,,,
n03992509,566, potters wheel,,,,,,,
n03995372,373, power drill,,,,,,,
n03998194,769, prayer rug, prayer mat,,,,,,
n04004767,556, printer,,,,,,,
n04005630,702, prison, prison house,,,,,,
n04008634,542, projectile, missile,,,,,,
n04009552,534, projector,,,,,,,
n04019541,572, puck, hockey puck,,,,,,
n04023962,846, punching bag, punch bag, punching ball, punchball,,,,
n04026417,939, purse,,,,,,,
n04033901,862, quill, quill pen,,,,,,
n04033995,976, quilt, comforter, comfort, puff,,,,
n04037443,273, racer, race car, racing car,,,,,
n04039381,860, racket, racquet,,,,,,
n04040759,571, radiator,,,,,,,
n04041544,863, radio, wireless,,,,,,
n04044716,537, radio telescope, radio reflector,,,,,,
n04049303,927, rain barrel,,,,,,,
n04065272,286, recreational vehicle, RV, R.V.,,,,,
n04067472,570, reel,,,,,,,
n04069434,965, reflex camera,,,,,,,
n04070727,668, refrigerator, icebox,,,,,,
n04074963,578, remote control, remote,,,,,,
n04081281,694, restaurant, eating house, eating place, eatery,,,,
n04086273,219, revolver, six-gun, six-shooter,,,,,
n04090263,541, rifle,,,,,,,
n04099969,310, rocking chair, rocker,,,,,,
n04111531,663, rotisserie,,,,,,,
n04116512,997, rubber eraser, rubber, pencil eraser,,,,,
n04118538,876, rugby ball,,,,,,,
n04118776,519, rule, ruler,,,,,,
n04120489,760, running shoe,,,,,,,
n04125021,753, safe,,,,,,,
n04127249,586, safety pin,,,,,,,
n04131690,952, saltshaker, salt shaker,,,,,,
n04133789,751, sandal,,,,,,,
n04136333,938, sarong,,,,,,,
n04141076,355, sax, saxophone,,,,,,
n04141327,809, scabbard,,,,,,,
n04141975,521, scale, weighing machine,,,,,,
n04146614,962, school bus,,,,,,,
n04147183,221, schooner,,,,,,,
n04149813,729, scoreboard,,,,,,,
n04152593,510, screen, CRT screen,,,,,,
n04153751,587, screw,,,,,,,
n04154565,379, screwdriver,,,,,,,
n04162706,589, seat belt, seatbelt,,,,,,
n04179913,559, sewing machine,,,,,,,
n04192698,800, shield, buckler,,,,,,
n04200800,709, shoe shop, shoe-shop, shoe store,,,,,
n04201297,832, shoji,,,,,,,
n04204238,950, shopping basket,,,,,,,
n04204347,259, shopping cart,,,,,,,
n04208210,380, shovel,,,,,,,
n04209133,868, shower cap,,,,,,,
n04209239,747, shower curtain,,,,,,,
n04228054,590, ski,,,,,,,
n04229816,776, ski mask,,,,,,,
n04235860,943, sleeping bag,,,,,,,
n04238763,549, slide rule, slipstick,,,,,,
n04239074,726, sliding door,,,,,,,
n04243546,557, slot, one-armed bandit,,,,,,
n04251144,507, snorkel,,,,,,,
n04252077,288, snowmobile,,,,,,,
n04252225,278, snowplow, snowplough,,,,,,
n04254120,960, soap dispenser,,,,,,,
n04254680,222, soccer ball,,,,,,,
n04254777,986, sock,,,,,,,
n04258138,577, solar dish, solar collector, solar furnace,,,,,
n04259630,925, sombrero,,,,,,,
n04263257,822, soup bowl,,,,,,,
n04264628,858, space bar,,,,,,,
n04265275,515, space heater,,,,,,,
n04266014,234, space shuttle,,,,,,,
n04270147,676, spatula,,,,,,,
n04273569,237, speedboat,,,,,,,
n04275548,600, spider web, spiders web,,,,,,
n04277352,775, spindle,,,,,,,
n04285008,274, sports car, sport car,,,,,,
n04286575,593, spotlight, spot,,,,,,
n04296562,804, stage,,,,,,,
n04310018,263, steam locomotive,,,,,,,
n04311004,680, steel arch bridge,,,,,,,
n04311174,340, steel drum,,,,,,,
n04317175,530, stethoscope,,,,,,,
n04325704,998, stole,,,,,,,
n04326547,724, stone wall,,,,,,,
n04328186,528, stopwatch, stop watch,,,,,,
n04330267,516, stove,,,,,,,
n04332243,514, strainer,,,,,,,
n04335435,287, streetcar, tram, tramcar, trolley, trolley car,,,
n04336792,957, stretcher,,,,,,,
n04344873,311, studio couch, day bed,,,,,,
n04346328,692, stupa, tope,,,,,,
n04347754,247, submarine, pigboat, sub, U-boat,,,,
n04350905,794, suit, suit of clothes,,,,,,
n04355338,526, sundial,,,,,,,
n04355933,574, sunglass,,,,,,,
n04356056,535, sunglasses, dark glasses, shades,,,,,
n04357314,810, sunscreen, sunblock, sun blocker,,,,,
n04366367,681, suspension bridge,,,,,,,
n04367480,828, swab, swob, mop,,,,,
n04370456,837, sweatshirt,,,,,,,
n04371430,945, swimming trunks, bathing trunks,,,,,,
n04371774,569, swing,,,,,,,
n04372370,561, switch, electric switch, electrical switch,,,,,
n04376876,531, syringe,,,,,,,
n04380533,304, table lamp,,,,,,,
n04389033,250, tank, army tank, armored combat vehicle, armoured combat vehicle,,,,
n04392985,978, tape player,,,,,,,
n04398044,675, teapot,,,,,,,
n04399382,786, teddy, teddy bear,,,,,,
n04404412,944, television, television system,,,,,,
n04409515,970, tennis ball,,,,,,,
n04417672,989, thatch, thatched roof,,,,,,
n04418357,903, theater curtain, theatre curtain,,,,,,
n04423845,758, thimble,,,,,,,
n04428191,555, thresher, thrasher, threshing machine,,,,,
n04429376,308, throne,,,,,,,
n04435653,780, tile roof,,,,,,,
n04442312,664, toaster,,,,,,,
n04443257,710, tobacco shop, tobacconist shop, tobacconist,,,,,
n04447861,312, toilet seat,,,,,,,
n04456115,594, torch,,,,,,,
n04458633,700, totem pole,,,,,,,
n04461696,282, tow truck, tow car, wrecker,,,,,
n04462240,711, toyshop,,,,,,,
n04465501,289, tractor,,,,,,,
n04467665,283, trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi,,
n04476259,766, tray,,,,,,,
n04479046,825, trench coat,,,,,,,
n04482393,291, tricycle, trike, velocipede,,,,,
n04483307,242, trimaran,,,,,,,
n04485082,597, tripod,,,,,,,
n04486054,678, triumphal arch,,,,,,,
n04487081,882, trolleybus, trolley coach, trackless trolley,,,,,
n04487394,349, trombone,,,,,,,
n04493381,765, tub, vat,,,,,,
n04501370,727, turnstile,,,,,,,
n04505470,544, typewriter keyboard,,,,,,,
n04507155,220, umbrella,,,,,,,
n04509417,292, unicycle, monocycle,,,,,,
n04515003,334, upright, upright piano,,,,,,
n04517823,666, vacuum, vacuum cleaner,,,,,,
n04522168,874, vase,,,,,,,
n04523525,990, vault,,,,,,,
n04525038,969, velvet,,,,,,,
n04525305,558, vending machine,,,,,,,
n04532106,790, vestment,,,,,,,
n04532670,682, viaduct,,,,,,,
n04536866,343, violin, fiddle,,,,,,
n04540053,936, volleyball,,,,,,,
n04542943,665, waffle iron,,,,,,,
n04548280,524, wall clock,,,,,,,
n04548362,928, wallet, billfold, notecase, pocketbook,,,,
n04550184,317, wardrobe, closet, press,,,,,
n04552348,231, warplane, military plane,,,,,,
n04553703,906, washbasin, handbasin, washbowl, lavabo, wash-hand basin,,,
n04554684,669, washer, automatic washer, washing machine,,,,,
n04557648,958, water bottle,,,,,,,
n04560804,819, water jug,,,,,,,
n04562935,795, water tower,,,,,,,
n04579145,772, whiskey jug,,,,,,,
n04579432,502, whistle,,,,,,,
n04584207,899, wig,,,,,,,
n04589890,912, window screen,,,,,,,
n04590129,904, window shade,,,,,,,
n04591157,935, Windsor tie,,,,,,,
n04591713,831, wine bottle,,,,,,,
n04592741,503, wing,,,,,,,
n04596742,672, wok,,,,,,,
n04597913,951, wooden spoon,,,,,,,
n04599235,815, wool, woolen, woollen,,,,,
n04604644,723, worm fence, snake fence, snake-rail fence, Virginia fence,,,,
n04606251,248, wreck,,,,,,,
n04612504,240, yawl,,,,,,,
n04613696,714, yurt,,,,,,,
n06359193,553, web site, website, internet site, site,,,,
n06596364,930, comic book,,,,,,,
n06785654,791, crossword puzzle, crossword,,,,,,
n06794110,932, street sign,,,,,,,
n06874185,861, traffic light, traffic signal, stoplight,,,,,
n07248320,774, book jacket, dust cover, dust jacket, dust wrapper,,,,
n07565083,803, menu,,,,,,,
n07579787,754, plate,,,,,,,
n07583066,813, guacamole,,,,,,,
n07584110,844, consomme,,,,,,,
n07590611,771, hot pot, hotpot,,,,,,
n07613480,793, trifle,,,,,,,
n07614500,974, ice cream, icecream,,,,,,
n07615774,968, ice lolly, lolly, lollipop, popsicle,,,,
n07684084,873, French loaf,,,,,,,
n07693725,768, bagel, beigel,,,,,,
n07695742,975, pretzel,,,,,,,
n07697313,993, cheeseburger,,,,,,,
n07697537,885, hotdog, hot dog, red hot,,,,,
n07711569,734, mashed potato,,,,,,,
n07714571,736, head cabbage,,,,,,,
n07714990,737, broccoli,,,,,,,
n07715103,738, cauliflower,,,,,,,
n07716358,739, zucchini, courgette,,,,,,
n07716906,740, spaghetti squash,,,,,,,
n07717410,741, acorn squash,,,,,,,
n07717556,742, butternut squash,,,,,,,
n07718472,743, cucumber, cuke,,,,,,
n07718747,744, artichoke, globe artichoke,,,,,,
n07720875,735, bell pepper,,,,,,,
n07730033,745, cardoon,,,,,,,
n07734744,746, mushroom,,,,,,,
n07742313,318, Granny Smith,,,,,,,
n07745940,229, strawberry,,,,,,,
n07747607,319, orange,,,,,,,
n07749582,320, lemon,,,,,,,
n07753113,321, fig,,,,,,,
n07753275,322, pineapple, ananas,,,,,,
n07753592,323, banana,,,,,,,
n07754684,324, jackfruit, jak, jack,,,,,
n07760859,325, custard apple,,,,,,,
n07768694,326, pomegranate,,,,,,,
n07802026,816, hay,,,,,,,
n07831146,999, carbonara,,,,,,,
n07836838,953, chocolate sauce, chocolate syrup,,,,,,
n07860988,864, dough,,,,,,,
n07871810,806, meat loaf, meatloaf,,,,,,
n07873807,948, pizza, pizza pie,,,,,,
n07875152,830, potpie,,,,,,,
n07880968,900, burrito,,,,,,,
n07892512,798, red wine,,,,,,,
n07920052,947, espresso,,,,,,,
n07930864,859, cup,,,,,,,
n07932039,823, eggnog,,,,,,,
n09193705,361, alp,,,,,,,
n09229709,992, bubble,,,,,,,
n09246464,359, cliff, drop, drop-off,,,,,
n09256479,365, coral reef,,,,,,,
n09288635,368, geyser,,,,,,,
n09332890,366, lakeside, lakeshore,,,,,,
n09399592,363, promontory, headland, head, foreland,,,,
n09421951,364, sandbar, sand bar,,,,,,
n09428293,367, seashore, coast, seacoast, sea-coast,,,,
n09468604,360, valley, vale,,,,,,
n09472597,362, volcano,,,,,,,
n09835506,954, ballplayer, baseball player,,,,,,
n10148035,848, groom, bridegroom,,,,,,
n10565667,982, scuba diver,,,,,,,
n11879895,330, rapeseed,,,,,,,
n11939491,357, daisy,,,,,,,
n12057211,358, yellow ladys slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum,,,,
n12144580,331, corn,,,,,,,
n12267677,327, acorn,,,,,,,
n12620546,328, hip, rose hip, rosehip,,,,,
n12768682,332, buckeye, horse chestnut, conker,,,,,
n12985857,886, coral fungus,,,,,,,
n12998815,913, agaric,,,,,,,
n13037406,956, gyromitra,,,,,,,
n13040303,893, stinkhorn, carrion fungus,,,,,,
n13044778,878, earthstar,,,,,,,
n13052670,812, hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa,,,,
n13054560,981, bolete,,,,,,,
n13133613,329, ear, spike, capitulum,,,,,
n15075141,889, toilet tissue, toilet paper, bathroom tissue},,,,,
